episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
15,17.0,6.629771038042062,7.177263955848472,-6.974889249613588,6.815967989827321,2.8133123046650264,[6.815967989827321, 2.8133123046650264],1.202,False,True,2.1859519358079504,155,60.1771198586739,238.207,in_progress,0.0
15,18.0,6.73499207642133,7.1628389116594295,-7.33739830839291,-19.49526322579443,4.0,[-19.49526322579443, 4.0],1.202,False,True,2.3584623728913567,156,60.1771198586739,238.291,in_progress,0.0
15,19.0,6.920564514235591,7.132632850102928,-8.917651314749833,-0.03286223945371347,3.462206259228279,[-0.03286223945371347, 3.462206259228279],1.202,False,True,2.6691149994759633,156,60.1771198586739,238.355,in_progress,0.0
15,20.0,7.038971776142816,7.110334320191949,-9.649854247592968,0.7159572231827518,1.3367091186963604,[0.7159572231827518, 1.3367091186963604],1.202,False,True,2.865391069833434,157,60.1771198586739,238.407,in_progress,0.0
15,21.0,7.242315224108323,7.0976259858092,-5.798446215511747,17.710417265814833,4.0,[17.710417265814833, 4.0],1.003,False,True,3.184824210508852,157,60.1771198586739,238.5,in_progress,0.0
15,22.0,7.282114990252035,7.098529985162916,-4.4753037937473215,-20.42817725730075,2.5948564320428633,[-20.42817725730075, 2.5948564320428633],1.003,False,True,3.2446554888678425,157,60.1771198586739,238.592,in_progress,0.0
15,23.0,7.880689652307975,6.988207480184251,-13.829429488092565,-30.0,3.5302323213718796,[-30.0, 3.5302323213718796],1.003,False,True,4.209823788625899,159,60.1771198586739,238.782,in_progress,0.0
15,24.0,7.929898260363278,6.970351694836338,-15.175404373334722,-25.947214305011947,2.8164007284178396,[-25.947214305011947, 2.8164007284178396],1.003,False,True,4.296139171972935,160,60.1771198586739,238.801,in_progress,0.0
15,25.0,7.981717002643635,6.949755075716779,-16.759755995061774,-30.0,1.2641980420471444,[-30.0, 1.2641980420471444],1.003,False,True,4.388390015803156,160,60.1771198586739,238.823,in_progress,0.0
15,26.0,8.296587693586535,6.779326292336961,-31.29856837072545,-30.0,1.25,[-30.0, 1.25],1.003,False,True,4.9758992638587625,161,60.1771198586739,238.991,in_progress,0.0
15,27.0,8.312294305078716,6.76917648693152,-31.934094538673655,-30.0,1.25,[-30.0, 1.25],1.003,False,True,5.004815834079723,161,60.1771198586739,239.09,in_progress,0.0
15,28.0,8.64980423345272,6.488921199490096,-41.94964085132936,-9.801125960633296,2.6623731189236235,[-9.801125960633296, 2.6623731189236235],1.003,False,True,5.717132848693174,162,60.1771198586739,239.285,in_progress,0.0
15,29.0,8.71261589296792,6.406140004280092,-46.181929938299355,-30.0,1.556133603220326,[-30.0, 1.556133603220326],1.003,False,True,5.875566572503288,163,60.1771198586739,239.352,in_progress,0.0
15,30.0,8.71261589296792,6.406140004280092,-46.181929938299355,-30.0,2.936928075188733,[-30.0, 2.936928075188733],1.003,False,True,5.875566572503288,163,60.1771198586739,239.454,in_progress,0.0
15,31.0,8.812658346670233,6.219641664005422,-56.41468962935194,-27.752821129685007,2.671854005792202,[-27.752821129685007, 2.671854005792202],1.003,False,True,6.174776777322933,163,60.1771198586739,239.568,in_progress,0.0
